,Project ID,Project Name,Project Type,Project Subtype,Country Name,Country Code (ISO3),Region,Decision to Build or FBC (YYYY),Completion/Opening (YYYY),Completion/Opening (DD/MM/YYYY),"Actual Cost, millions (local currency)","Currency, Year (Actual Cost)",Mainline Length (km),Number of Stations (Rail only)
0,10,Kerava- Lahti Railway,Rail,Conventional,Cross-border (finland/russia),FIN,Europe,2002.0,2006,,477.2612016,"USD, 2019",78,3
1,23,Arctic Railway,Rail,Conventional,Cross-border,,,,,,,,,
2,34,AYaM,Rail,Arctic Railway,Russian Federation,RUS,Europe,,,,,,,
3,44,Rovaniemi-Kemijarvi Railway,Rail,Conventional,Finland,FIN,Europe,,,,,,85,
4,45,Baikal Amurskaya (BAM),Rail,Non-conventional intercity rail,Russian Federation,RUS,Europe,1974.0,2003,,177087.4248,"USD, 2019",4324,200
5,54,Trans-Siberian Railway,Rail,Non-conventional intercity rail,Russian Federation,RUS,Europe,1837.0,1851,,,,9289,
6,59,White Pass & Yukon Railway (WP&YR),Rail,Arctic Railway,United States of America,USA,North America,1898.0,1900,,10.0,"USD, 2019",177,
7,1328,Thameslink Programme,Rail,Conventional,United Kingdom,GBR,Europe,,2019,7/1/2019,7269.4,"GBP, 2019",225,
8,1333,Intercity Express Programme,Rail,Rolling stock,United Kingdom,GBR,Europe,,,,6576.85,"GBP, 2019",,
9,1340,NET Phase Two (Notingham Tram),Rail,Light Rail Transit,United Kingdom,GBR,Europe,,,8/10/2015,538.0,"GBP, 2019",18,28
10,1355,South West Route Capacity,Rail,Rolling stock,United Kingdom,GBR,Europe,,,,747.7,"GBP, 2019",,
11,1362,Coventry - Nuneaten rail line upgrade,Rail,Conventional,United Kingdom,GBR,Europe,,2016,1/1/2016,23.0,GBP 2016,16,2
12,1371,Crossrail Programme,Rail,Metro,United Kingdom,GBR,Europe,,2023,5/21/2023,18900.0,"GBP, 2022",118,10
13,7644,"Baltimore BWI, Hunt Valley, Penn Station LRT extensions, 1991-1997",Rail,Light rail,United States of America,USA,North America,1991.0,1997,1/1/1997,116.2,"USD, 1995",11.7,8
